Title,Author,ISBN
"Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin","978-0684824901"
"1776","David McCullough","978-0141021713"
"Alexander Hamilton","Ron Chernow","978-0143034759"
"A People's History of the United States","Howard Zinn","978-0062397348"
"John Adams","David McCullough","978-1416575887"
"Battle Cry of Freedom: The Civil War Era","James M. McPherson","978-0195168952"
"Bury My Heart at Wounded Knee","Dee Brown","978-0805086843"
"The Warmth of Other Suns","Isabel Wilkerson","978-0679763888"
"Founding Brothers: The Revolutionary Generation","Joseph J. Ellis","978-0375705243"
"Killers of the Flower Moon","David Grann","978-0307742483"
"The Rise and Fall of the Third Reich","William L. Shirer","978-1451651683"
"Postwar: A History of Europe Since 1945","Tony Judt","978-0143037750"
"The Guns of August","Barbara W. Tuchman","978-0345386236"
"A Distant Mirror: The Calamitous 14th Century","Barbara W. Tuchman","978-0345349576"
"Europe: A History","Norman Davies","978-0060974688"
"Bloodlands: Europe Between Hitler and Stalin","Timothy Snyder","978-0465031474"
"The Sleepwalkers: How Europe Went to War in 1914","Christopher Clark","978-0061146657"
"SPQR: A History of Ancient Rome","Mary Beard","978-1631492228"
"Napoleon: A Life","Andrew Roberts","978-0143127857"
"Iron Kingdom: The Rise and Downfall of Prussia","Christopher Clark","978-0674031968"
"Genghis Khan and the Making of the Modern World","Jack Weatherford","978-0609809648"
"The Rape of Nanking","Iris Chang","978-0465068364"
"The Silk Roads: A New History of the World","Peter Frankopan","978-1101912379"
"Nothing to Envy: Ordinary Lives in North Korea","Barbara Demick","978-0385523912"
"Wild Swans: Three Daughters of China","Jung Chang","978-0743246989"
"The Anarchy: The East India Company","William Dalrymple","978-1635573954"
"The Great Game: The Struggle for Empire in Central Asia","Peter Hopkirk","978-1568360225"
"The Rising Sun: The Decline and Fall of the Japanese Empire","John Toland","978-0812968583"
"The Search for Modern China","Jonathan D. Spence","978-0393934519"
"How Asia Works","Joe Studwell","978-0802121325"
"Open Veins of Latin America","Eduardo Galeano","978-0853459910"
"Born in Blood and Fire: A Concise History of Latin America","John Charles Chasteen","978-0393283051"
"Bolivar: American Liberator","Marie Arana","978-1439110195"
"Bitter Fruit: The Story of the American Coup in Guatemala","Stephen Schlesinger","978-0674019300"
"1491: New Revelations of the Americas Before Columbus","Charles C. Mann","978-1400032051"
"Che Guevara: A Revolutionary Life","Jon Lee Anderson","978-0802144119"
"A History of Latin America","Benjamin Keen & Keith Haynes","978-1133050506"
"The Contemporary History of Latin America","Tulio Halperin Donghi","978-0822313748"
"Cuba: An American History","Ada Ferrer","978-1501154553"
"The Motorcycle Diaries","Ernesto Che Guevara","978-1876175702"
"King Leopold's Ghost","Adam Hochschild","978-0358212508"
"How Europe Underdeveloped Africa","Walter Rodney","978-1788731188"
"The Fate of Africa","Martin Meredith","978-1610390712"
"The Scramble for Africa","Thomas Pakenham","978-0349104492"
"We Wish to Inform You That Tomorrow We Will Be Killed with Our Families","Philip Gourevitch","978-0312243357"



