ISBN,Title,Author
9780439846813,Amulet 1: The Stonekeeper,Kazu Kibuishi
9780545132060,Smile,Raina Telgemeier
9780545540599,Sisters,Raina Telgemeier
9780545852500,Guts,Raina Telgemeier
9781338344219,Wings of Fire Graphic Novel 1,Tui T. Sutherland & Mike Holmes
9780545912402,The Bad Guys (Bad Guys #1),Aaron Blabey
9780141376929,Hilo Book 1: The Boy Who Crashed to Earth,Judd Winick
9780545326995,Drama,Raina Telgemeier
9780545540674,Ghosts,Raina Telgemeier
9781596434462,Zita the Spacegirl,Ben Hatke
978-3-401-60607-1,Gefährliche Freundschaft,Katja Brandis
978-3-401-60608-8,Hollys Geheimnis,Katja Brandis
978-3-401-60609-5,Fremde Wildnis,Katja Brandis
978-3-401-60610-1,Feindliche Spuren,Katja Brandis
978-3-401-60611-8,Tag der Rache,Katja Brandis
978-3-401-06814-5,Hier steckt der Wurm drin!,Alice Pantermüller
978-3-401-06833-6,Daher weht der Hase!,Alice Pantermüller
978-3-401-06961-6,Ich glaub, meine Kröte pfeift!,Alice Pantermüller
978-3-401-06965-4,Den Letzten knutschen die Elche!,Alice Pantermüller
978-3-401-60038-3,Und täglich grüßt der Camembär,Alice Pantermüller
978-3-401-60136-6,Volle Kanne Koala,Alice Pantermüller
978-3-401-60137-3,Eine Natter macht die Flatter,Alice Pantermüller
978-3-401-60332-2,Wenn die Frösche zweimal quaken,Alice Pantermüller
978-3-401-60333-9,Da lachen ja die Hunde,Alice Pantermüller
978-3-401-60334-6,Wer den Wal hat,Alice Pantermüller
978-3-401-60496-1,Das letzte Eichhorn,Alice Pantermüller
978-3-401-60504-3,Je Otter, desto flotter,Alice Pantermüller
978-3-401-60505-0,Im Zeichen des Tapir,Alice Pantermüller
978-3-401-60652-1,Hier taucht der Papagei,Alice Pantermüller
978-3-7415-2565-0,Princess Ponys: Ein Traum wird wahr,Chloe Ryder
978-3-7431-6722-3,Ein Traum wird wahr (Hofmann edition),Elena Tresnak & Stefanie Hofmann-Hidde
978-3-551-65276-8,Die Schule der magischen Tiere 6: Nass und nasser,Margit Auer
978-3-551-65279-9,Die Schule der magischen Tiere 9: Versteinert!,Margit Auer
978-3-551-65361-1,Die Schule der magischen Tiere 11: Wilder wilder Wald,Margit Auer
978-3-551-65363-5,Die Schule der magischen Tiere 13: Bravo Bravissimo!,Margit Auer
978-3-551-65364-2,Die Schule der magischen Tiere 14: Ach du Schreck!,Margit Auer
978-3-505-13890-4,Max Crumbly 2: Schule und andere schwarze Löcher,Rachel Renée Russell
978-1471184949,Masters of Mischief (The Misadventures of Max Crumbly 3),Rachel Renée Russell
9781250219954,InvestiGators: Take the Plunge,John Patrick Green
9781250219961,InvestiGators: Off the Hook,John Patrick Green
9781250220004,InvestiGators: Ants in Our P.A.N.T.S.,John Patrick Green
9781250220059,InvestiGators: Braver and Boulder,John Patrick Green
9781250220066,InvestiGators: Heist and Seek,John Patrick Green
9781250845214,InvestiGators: All Tide Up,John Patrick Green
9781250856722,InvestiGators: Class Action,John Patrick Green
9781442444321,Dork Diaries: Tales from a Not-So-Graceful Ice Princess,Rachel Renée Russell
9781442449630,Dork Diaries: Tales from a Not-So-Smart Miss Know-It-All,Rachel Renée Russell
9781442480695,Dork Diaries: Tales from a Not-So-Happy Heartbreaker,Rachel Renée Russell
9781481421843,Dork Diaries: Tales from a Not-So-Glam TV Star,Rachel Renée Russell
9781481421874,Dork Diaries: Tales from a Not-So-Happily Ever After,Rachel Renée Russell
9781481457040,Dork Diaries: Tales from a Not-So-Perfect Pet Sitter,Rachel Renée Russell
9781481487740,Dork Diaries: Tales from a Not-So-Friendly Frenemy,Rachel Renée Russell
9781534480483,Dork Diaries: Tales from a Not-So-Posh Paris Adventure,Rachel Renée Russell

